poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167716,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Trump,16651,Donald Trump,43.4
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167716,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,DeSantis,16646,Ron DeSantis,27.8
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167716,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,T. Scott,16648,Tim Scott,14.3
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167716,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Haley,16640,Nimrata R. Haley,11.6
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167716,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Pence,16638,Mike Pence,1.8
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167716,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Pompeo,16652,Mike Pompeo,1.1
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167717,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Trump,16651,Donald Trump,43.3
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167717,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,DeSantis,16646,Ron DeSantis,29.2
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167717,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Haley,16640,Nimrata R. Haley,21.6
82068,1250,Trafalgar Group,,,Trafalgar Group,338,Trafalgar Group,A-,IVR/Online/Text/Live Phone,,1/24/2023,1/26/2023,,,,167717,1078,lv,,lv,,1/27/2023 18:08,,https://www.thetrafalgargroup.org/wp-content/uploads/2023/01/SC-GOP-PPP-Poll-Report-0127.pdf,,FALSE,REP,8916,2024,U.S. President,0,,,primary,FALSE,FALSE,,REP,Pence,16638,Mike Pence,3.8
